,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Weld ID,Electrode Positive,Electrode Negative
26,0.068,0.35,1.51,0.006,0.006,351.0,100.0,87.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-R1.6ch2,1,0
27,0.068,0.35,1.51,0.006,0.006,351.0,100.0,87.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-R1.6mic,1,0
28,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,Evans-Ti/CMn-1992-R2.4,1,0
29,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-R2.4ch1,1,0
30,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-R2.4ch2,1,0
31,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-R2.4ch2,1,0
32,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,Evans-Ti/CMn-1992-S3.6,1,0
33,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S3.6ch1,1,0
34,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S3.6ch2,1,0
35,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S3.6mic,1,0
36,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,Evans-Ti/CMn-1992-S4.8,1,0
37,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S4.8ch1,1,0
38,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S4.8ch2,1,0
39,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,Evans-Ti/CMn-1992-S4.8mic,1,0
