,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID
30,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-44.0,100.0,Evans-Ti/CMn-1992-R2.4ch2
31,0.065,0.39,1.53,0.005,0.006,351.0,140.0,93.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-64.35,64.0,Evans-Ti/CMn-1992-R2.4ch2
32,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,DC,+,1.0,200,ShMA,250.0,14.0,515.0,592.0,27.2,78.9,-64.35,64.0,Evans-Ti/CMn-1992-S3.6
33,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-76.0,28.0,Evans-Ti/CMn-1992-S3.6ch1
34,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-55.0,100.0,Evans-Ti/CMn-1992-S3.6ch2
35,0.07,0.48,1.64,0.005,0.006,290.0,210.0,102.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-64.35,64.0,Evans-Ti/CMn-1992-S3.6mic
36,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,DC,+,1.0,200,ShMA,250.0,14.0,588.0,654.0,26.4,72.0,-64.35,64.0,Evans-Ti/CMn-1992-S4.8
37,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-80.0,28.0,Evans-Ti/CMn-1992-S4.8ch1
38,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-55.0,100.0,Evans-Ti/CMn-1992-S4.8ch2
39,0.075,0.29,1.75,0.006,0.005,272.0,255.0,96.0,170.0,21.0,DC,+,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-64.35,64.0,Evans-Ti/CMn-1992-S4.8mic
